Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, May 26, 2019 12:00 AM to Sat, Jun 1, 2019 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,11,10,3,3,0,27
6:00AM - 6:59AM,0,0,80,105,101,59,0,345
7:00AM - 7:59AM,0,0,107,91,108,81,0,387
8:00AM - 8:59AM,0,0,206,266,183,112,0,767
9:00AM - 9:59AM,0,6,278,389,286,144,11,1114
10:00AM - 10:59AM,123,154,291,324,327,197,189,1605
11:00AM - 11:59AM,96,140,401,386,399,310,147,1879
12:00PM - 12:59PM,108,144,337,281,308,234,130,1542
1:00PM - 1:59PM,129,141,383,354,339,182,121,1649
2:00PM - 2:59PM,100,155,272,324,270,282,110,1513
3:00PM - 3:59PM,156,198,373,288,374,238,145,1772
4:00PM - 4:59PM,133,197,349,402,342,278,151,1852
5:00PM - 5:59PM,116,212,411,480,301,221,128,1869
6:00PM - 6:59PM,102,239,375,395,270,209,121,1711
7:00PM - 7:59PM,106,93,336,367,206,140,84,1332
8:00PM - 8:59PM,84,0,277,233,187,103,88,972
9:00PM - 9:59PM,68,0,238,167,270,107,75,925
10:00PM - 10:59PM,56,0,108,106,103,52,47,472
11:00PM - 11:59PM,10,0,24,18,19,7,13,91
Totals:,1387,1679,4857,4986,4396,2959,1560,21824
"Wed, Feb 26 2025 3:18P",,,,,,,,Page: 1/1
