Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Apr 17, 2016 12:00 AM to Sat, Apr 23, 2016 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,0,0,1,0,0,1
6:00AM - 6:59AM,0,151,108,185,81,80,0,605
7:00AM - 7:59AM,0,156,106,147,118,68,0,595
8:00AM - 8:59AM,0,236,273,247,247,119,0,1122
9:00AM - 9:59AM,0,383,310,361,310,191,0,1555
10:00AM - 10:59AM,167,327,270,344,270,227,212,1817
11:00AM - 11:59AM,161,436,453,421,391,337,188,2387
12:00PM - 12:59PM,166,327,377,336,393,289,172,2060
1:00PM - 1:59PM,124,386,369,332,365,301,179,2056
2:00PM - 2:59PM,130,295,300,269,306,355,233,1888
3:00PM - 3:59PM,174,417,438,342,439,286,195,2291
4:00PM - 4:59PM,171,363,430,327,422,302,259,2274
5:00PM - 5:59PM,159,457,436,406,444,338,236,2476
6:00PM - 6:59PM,235,431,614,387,415,275,210,2567
7:00PM - 7:59PM,150,365,497,316,367,196,160,2051
8:00PM - 8:59PM,208,352,343,254,262,162,101,1682
9:00PM - 9:59PM,138,292,302,225,181,102,102,1342
10:00PM - 10:59PM,99,164,174,128,90,74,60,789
11:00PM - 11:59PM,11,28,25,18,16,23,11,132
Totals:,2093,5566,5825,5045,5118,3725,2318,29690
"Mon, Feb 17 2025 10:56A",,,,,,,,Page: 1/1
