Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Mar 21, 2021 12:00 AM to Sat, Mar 27, 2021 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
7:00AM - 7:59AM,0,2,7,0,0,4,0,13
8:00AM - 8:59AM,0,7,22,26,17,22,0,94
9:00AM - 9:59AM,0,14,23,21,17,24,0,99
10:00AM - 10:59AM,0,11,17,14,12,11,0,65
11:00AM - 11:59AM,0,21,26,19,26,26,0,118
12:00PM - 12:59PM,0,30,25,24,32,36,0,147
1:00PM - 1:59PM,0,9,14,15,15,19,0,72
2:00PM - 2:59PM,0,18,7,15,17,23,0,80
3:00PM - 3:59PM,0,29,28,36,25,23,0,141
4:00PM - 4:59PM,0,15,19,18,17,12,0,81
5:00PM - 5:59PM,0,8,11,8,10,11,0,48
Totals:,0,164,199,196,188,211,0,958
"Wed, Feb 26 2025 3:54P",,,,,,,,Page: 1/1
